ip,endpoint,requests_per_minute,failed_logins,payload_size,unusual_time,attack
192.168.1.206,/payment,48,7,3972,0,0
192.168.1.127,/login,58,9,2111,0,0
192.168.1.208,/cart,82,4,3988,0,0
192.168.1.118,/products,23,8,1536,0,0
192.168.1.17,/profile,7,14,2045,0,1
192.168.1.97,/login,60,2,1407,1,0
192.168.1.186,/profile,69,13,1920,0,1
192.168.1.50,/cart,109,20,3868,1,1
192.168.1.22,/login,93,1,2088,0,1
192.168.1.73,/cart,94,1,4452,0,0
192.168.1.41,/payment,57,1,2383,1,0
192.168.1.227,/cart,33,17,3028,0,1
192.168.1.135,/cart,79,11,4558,1,0
192.168.1.225,/cart,109,0,803,1,1
192.168.1.106,/profile,93,13,2357,0,0
192.168.1.52,/profile,84,4,2335,0,0
192.168.1.237,/products,33,11,271,0,0
192.168.1.166,/profile,8,5,2782,0,0
192.168.1.25,/payment,30,12,1701,1,0
192.168.1.254,/payment,49,7,968,1,0
192.168.1.57,/cart,77,0,4882,1,1
192.168.1.193,/cart,109,20,1218,0,1
192.168.1.46,/login,112,7,1387,0,1
192.168.1.32,/profile,78,2,2004,0,0
192.168.1.244,/cart,120,19,2629,1,1
192.168.1.170,/cart,88,3,2017,1,1
192.168.1.46,/profile,71,19,4043,0,1
192.168.1.178,/login,64,9,3996,0,0
192.168.1.80,/payment,78,9,4332,1,0
192.168.1.225,/login,17,8,3098,1,0
192.168.1.207,/cart,15,10,1512,1,0
192.168.1.102,/profile,105,2,4300,0,1
192.168.1.89,/products,33,7,1322,1,0
192.168.1.127,/login,59,16,380,0,1
192.168.1.77,/payment,34,4,4150,0,0
192.168.1.190,/products,11,18,3893,0,1
192.168.1.89,/products,34,13,1085,0,0
192.168.1.83,/login,73,18,2283,0,1
192.168.1.233,/products,8,19,4991,1,1
192.168.1.240,/profile,30,2,2761,0,0
192.168.1.120,/payment,97,11,2454,0,1
192.168.1.7,/payment,4,10,2881,0,0
192.168.1.126,/profile,101,12,876,0,0
192.168.1.63,/profile,70,18,4574,0,1
192.168.1.241,/cart,44,1,2613,0,0
192.168.1.236,/payment,95,8,2040,1,1
192.168.1.168,/login,85,13,4828,1,1
192.168.1.174,/profile,54,15,4789,1,1
192.168.1.174,/cart,15,2,2763,0,0
192.168.1.208,/profile,42,19,2209,1,1
192.168.1.18,/login,18,8,4685,0,0
192.168.1.105,/payment,12,4,4159,1,0
192.168.1.126,/products,40,11,3686,1,1
192.168.1.207,/payment,55,3,4757,1,0
192.168.1.99,/products,54,7,245,1,0
192.168.1.54,/products,63,20,4737,1,1
192.168.1.27,/profile,110,6,2130,1,1
192.168.1.158,/profile,63,11,2657,0,0
192.168.1.214,/login,2,11,630,0,1
192.168.1.112,/profile,37,0,2903,0,0
192.168.1.95,/cart,100,0,680,0,1
192.168.1.89,/login,71,20,4552,1,1
192.168.1.105,/login,16,19,4792,1,1
192.168.1.143,/profile,13,3,2521,1,0
192.168.1.111,/profile,108,18,3501,1,1
192.168.1.240,/login,26,3,433,0,0
192.168.1.245,/login,90,11,686,1,0
192.168.1.77,/cart,32,7,4791,1,0
192.168.1.182,/cart,35,5,3555,1,0
192.168.1.140,/cart,91,18,4817,1,1
192.168.1.239,/payment,55,13,3857,0,1
192.168.1.97,/profile,82,6,4431,0,0
192.168.1.108,/products,78,2,989,1,0
192.168.1.93,/cart,36,17,4913,0,1
192.168.1.212,/cart,72,2,3088,0,0
192.168.1.187,/cart,97,10,4303,0,0
192.168.1.250,/payment,102,6,2677,0,0
192.168.1.13,/products,4,15,3111,0,1
192.168.1.49,/payment,13,3,4893,0,0
192.168.1.174,/login,70,11,2039,0,0
192.168.1.17,/products,68,2,3141,0,0
192.168.1.48,/payment,24,4,508,0,0
192.168.1.76,/login,103,0,4059,1,1
192.168.1.16,/products,63,4,242,1,0
192.168.1.146,/products,75,7,2029,0,0
192.168.1.64,/profile,61,11,3605,0,0
192.168.1.108,/login,81,20,1543,1,1
192.168.1.51,/payment,60,1,2752,1,0
192.168.1.143,/profile,18,11,2920,0,0
192.168.1.191,/profile,7,10,1826,1,1
192.168.1.134,/login,14,1,4107,0,0
192.168.1.191,/profile,87,18,985,0,1
192.168.1.83,/products,27,1,3514,0,0
192.168.1.132,/payment,37,3,2171,1,0
192.168.1.207,/login,93,20,1923,1,1
192.168.1.70,/cart,67,9,3015,1,0
192.168.1.72,/profile,105,0,4279,1,1
192.168.1.155,/login,27,4,295,0,0
192.168.1.251,/profile,120,0,3603,1,1
192.168.1.189,/cart,81,16,4515,1,1
192.168.1.14,/payment,44,15,3498,0,1
192.168.1.236,/profile,58,4,408,1,0
192.168.1.53,/payment,29,12,4132,1,1
192.168.1.148,/login,116,18,1720,0,1
192.168.1.5,/products,111,15,3598,0,1
192.168.1.244,/products,118,9,336,0,1
192.168.1.85,/login,76,20,4836,1,1
192.168.1.16,/login,114,17,328,1,1
192.168.1.207,/login,84,13,2807,0,1
192.168.1.227,/payment,5,10,4088,1,1
192.168.1.156,/products,44,5,3008,0,0
192.168.1.64,/profile,42,0,2917,1,0
192.168.1.163,/payment,71,10,4941,1,0
192.168.1.246,/payment,64,16,3737,0,1
192.168.1.97,/login,15,5,452,1,0
192.168.1.156,/payment,50,9,203,1,0
192.168.1.6,/payment,26,20,502,0,1
192.168.1.37,/profile,100,10,2656,1,1
192.168.1.176,/products,72,11,4077,1,0
192.168.1.118,/cart,1,9,357,1,0
192.168.1.5,/payment,90,20,4094,0,1
192.168.1.226,/products,25,1,2326,1,0
192.168.1.95,/payment,68,11,3872,0,1
192.168.1.84,/products,66,4,679,1,0
192.168.1.35,/login,105,13,3154,1,1
192.168.1.47,/products,17,2,2319,1,0
192.168.1.232,/products,33,20,2536,0,1
192.168.1.198,/profile,8,7,728,0,0
192.168.1.221,/login,20,3,2221,1,0
192.168.1.140,/profile,65,16,2924,0,1
192.168.1.230,/payment,75,17,4799,1,1
192.168.1.192,/products,1,18,3809,1,1
192.168.1.134,/cart,38,18,4161,1,1
192.168.1.63,/payment,33,13,600,0,0
192.168.1.171,/cart,55,8,4036,1,0
192.168.1.109,/products,43,17,4396,0,1
192.168.1.30,/payment,45,6,1581,0,0
192.168.1.221,/products,39,18,4443,1,1
192.168.1.47,/profile,70,18,259,0,1
192.168.1.47,/cart,50,7,3048,0,0
192.168.1.3,/login,43,9,2797,1,0
192.168.1.77,/products,24,14,870,1,1
192.168.1.37,/login,28,1,3472,1,0
